3/27/95

PENNSYLVANIA
Population of Counties by Decennial Census: 1900 to 1990
Compiled and edited by Richard L. Forstall
                       Population Division
                       US Bureau of the Census
                       Washington, DC  20233

Please see file, 1900-90.doc for explanatory notes and documentation.

 FIPS      1990      1980      1970      1960
00000 248709873 226545805 203211926 179323175 United States

42007     78353     56432                     Beaver County
42009     38879     39468                     Bedford County
42011    183222    159615                     Berks County
42013    108858     85099                     Blair County
42015     54526     59403                     Bradford County
42017     76530     71190                     Bucks County
42019     72689     56962                     Butler County
42021    166131    104837                     Cambria County
42023      7644      7048                     Cameron County
42025     52846     44510                     Carbon County
42027     43424     42894                     Centre County
42029    109213     95695                     Chester County
42031     36638     34283                     Clarion County
42033     93768     80614                     Clearfield County
42035     31545     29197                     Clinton County
42037     48467     39896                     Columbia County
42039     61565     63643                     Crawford County
42041     54479     50344                     Cumberland County
42043    136152    114443                     Dauphin County
42045    117906     94762                     Delaware County
42047     35871     32903                     Elk County
42049    115517     98473                     Erie County
42051    167449    110412                     Fayette County
42053      9435     11039                     Forest County
42055     59775     54902                     Franklin County
42057      9703      9924                     Fulton County
42059     28882     28281                     Greene County
42061     38304     34650                     Huntingdon County
42063     66210     42556                     Indiana County
42065     63090     59113                     Jefferson County
42067     15013     16054                     Juniata County
42069    259570    193831                     Lackawanna County
42071    167029    159241                     Lancaster County
42073     70032     57042                     Lawrence County
42075     59565     53827                     Lebanon County
42077    118832     93893                     Lehigh County
42079    343186    257121                     Luzerne County
42081     80813     75663                     Lycoming County
42083     47868     51343                     Mc Kean County
42085     77699     57387                     Mercer County
42087     27785     23160                     Mifflin County
42089     22941     21161                     Monroe County
42091    169590    138995                     Montgomery County
42093     14868     15526                     Montour County
42095    127667     99687                     Northampton County
42097    111420     90911                     Northumberland County
42099     24136     26263                     Perry County
42101   1549008   1293697                     Philadelphia County
42103      8033      8766                     Pike County
42105     29729     30621                     Potter County
42107    207894    172927                     Schuylkill County
42109     16800     17304                     Snyder County
42111     67717     49461                     Somerset County
42113     11293     12134                     Sullivan County
42115     37746     40043                     Susquehanna County
42117     42829     49086                     Tioga County
42119     16249     17592                     Union County
42121     56359     49648                     Venango County
42123     39573     38946                     Warren County
42125    143680     92181                     Washington County
42127     29236     30171                     Wayne County
42129    231304    160175                     Westmoreland County
42131     15509     17152                     Wyoming County
42133    136405    116413                     York County
